Function Name,numPaths (NonLinear),additions (NonLinear),numPaths (Linear),additions (Linear)
gettime,2,2,2,2
dgclose,1,1,1,1
x_snap,5,5,5,3
dfalloc,3,3,3,2
ionull,1,0,1,0
ip_in,7,7,7,4
dgcntl,3,3,3,1
ip2name,76,76,76,2
sdelete,4,4,4,2
rfcntl,5,5,5,5
insert,2,2,2,1
ipsend,1,1,1,1
init,2,2,2,2
ibfree,3,3,3,1
remove,2,2,2,2
main,2,2,2,1
lfgetc,5,5,5,3
icmp_in,5,5,5,1
kputc,65,65,65,2
savestate,1,1,1,1
rststate,1,1,1,1
kprintf,1,1,1,1
kill,49,49,49,2
wait,3,3,3,2
lfputc,7,7,7,2
